# https://www.cs.virginia.edu/stream/by_date/Balance.html
# Balance is Peak MFLOPS divided by Triad Bandwidth in MW/s
# ------------------------------------------------------------------------------
# Submission  System                                   Peak       BW     Machine
# Date        Machine ID                      ncpus   MFLOPS    (MW/s)   Balance
# ------------------------------------------------------------------------------
2016.01.13  ScaleMP_Xeon_E5-2680v3_64B      1534 61360000.0 795876.9     77.1 data
2016.01.02  ScaleMP_Xeon_E5-2680v3_63B      1500 60000000.0 777824.9     77.1 data
2015.10.15  HP_ProLiant_SL250                 20   448000.0  11348.0     39.5 data
2015.10.13  Dell_PowerEdge_R630               20   832000.0  13970.0     59.6 data
S 2015.10.01  Intel_Edison                       1      500.0    149.1      3.4 data
2015.07.10  SGI_UV_3000                     3072 103219200.0 1728273.1     59.7 data
2015.06.04  Intel_XeonPhi_7120                61  1208288.0  22235.4     54.3 data
2015.06.02  Dell_PowerEdge_M610_nta           12   159984.0   5211.0     30.7 data
2015.06.02  Dell_PowerEdge_M610_alloc         12   159984.0   3686.5     43.4 data
2015.06.02  Intel_Xeon_E3-1270_nta             1    27200.0   2266.8     12.0 data
2015.06.02  Intel_Xeon_E3-1270_alloc           1    27200.0   1642.0     16.6 data
2015.05.27  Dell_PowerEdgeR815                32   384000.0  10016.8     38.3 data
2015.05.27  Dell_PowerEdgeR815                32   384000.0  15107.6     25.4 data
2015.04.08  NumaConnect_648node             1296 29030400.0 1108981.2     26.2 data
S 2015.02.06  RaspberryPi_2B_Fortran             1      594.0     70.5      8.4 data
S 2015.02.06  RaspberryPi_2B_C                   1      594.0     62.2      9.5 data
S 2014.06.19  HP_Moonshot_M300                   8    19200.0   1803.8     10.6 data
S 2014.06.19  HP_Moonshot_M300                   4     9600.0   1936.0      5.0 data
S 2014.06.19  HP_Moonshot_M300                   1     2400.0    867.0      2.8 data
2014.04.24  Oracle_Sun_Server_X4-4            60  1344000.0  30633.5     43.9 data
2013.09.17  Intel_XeonPhi_SE10P               61  1073600.0  21832.9     49.2 data
2013.09.17  Fujitsu_SPARC_M10-4               64  1433600.0  32391.8     44.3 data
2013.09.17  Fujitsu_SPARC_M10-1               16   358400.0   8114.2     44.2 data
2013.09.12  Oracle_Sun_Server_X4-2L           24   259200.0  10709.0     24.2 data
2013.09.12  Oracle_SPARC_T5-8                128   921600.0  80360.5     11.5 data
2013.09.12  Oracle_SPARC_T5-4                 64   460800.0  40063.2     11.5 data
2013.09.12  Oracle_SPARC_T5-2                 32   230400.0  19377.1     11.9 data
2013.09.12  Oracle_SPARC_T5-1B                16   115200.0   9657.2     11.9 data
2013.09.11  Fujitsu_SPARC_M10-4S             512 12288000.0 258976.1     47.4 data
2013.08.24  Intel_Core_i7-3820_OC              4   160000.0   5643.4     28.4 data
2013.08.24  Intel_Core_i7-3820_OC              1    40000.0   2763.6     14.5 data
